Ticker,Company
SO US Equity,Southern Co/The
PEAK US Equity,Healthpeak Properties Inc
MKC US Equity,McCormick & Co Inc/MD
SPG US Equity,Simon Property Group Inc
TRV US Equity,Travelers Cos Inc/The
MSCI US Equity,MSCI Inc
TDY US Equity,Teledyne Technologies Inc
MTB US Equity,M&T Bank Corp
LHX US Equity,L3Harris Technologies Inc
CPB US Equity,Campbell Soup Co
DPZ US Equity,Domino's Pizza Inc
DE US Equity,Deere & Co
EIX US Equity,Edison International
FRT US Equity,Federal Realty Investment Trus
AMZN US Equity,Amazon.com Inc
KMB US Equity,Kimberly-Clark Corp
SJM US Equity,J M Smucker Co/The
VRSK US Equity,Verisk Analytics Inc
DHI US Equity,DR Horton Inc
KMX US Equity,CarMax Inc
SRE US Equity,Sempra Energy
NRG US Equity,NRG Energy Inc
ESS US Equity,Essex Property Trust Inc
FDX US Equity,FedEx Corp
LEG US Equity,Leggett & Platt Inc
ADP US Equity,Automatic Data Processing Inc
AMP US Equity,Ameriprise Financial Inc
SHW US Equity,Sherwin-Williams Co/The
WRB US Equity,W R Berkley Corp
BKNG US Equity,Booking Holdings Inc
RJF US Equity,Raymond James Financial Inc
IVZ US Equity,Invesco Ltd
DRI US Equity,Darden Restaurants Inc
CVX US Equity,Chevron Corp
PYPL US Equity,PayPal Holdings Inc
LYV US Equity,Live Nation Entertainment Inc
FRC US Equity,First Republic Bank/CA
DG US Equity,Dollar General Corp
DLTR US Equity,Dollar Tree Inc
WHR US Equity,Whirlpool Corp
COG US Equity,Cabot Oil & Gas Corp
UDR US Equity,UDR Inc
TWTR US Equity,Twitter Inc
VMC US Equity,Vulcan Materials Co
FLT US Equity,FleetCor Technologies Inc
ES US Equity,Eversource Energy
BF US Equity,Brown-Forman Corp
PSA US Equity,Public Storage
AAPL US Equity,Apple Inc
GL US Equity,Globe Life Inc
ACN US Equity,Accenture PLC
CMG US Equity,Chipotle Mexican Grill Inc
PAYX US Equity,Paychex Inc
HBI US Equity,Hanesbrands Inc
WLTW US Equity,Willis Towers Watson PLC
CINF US Equity,Cincinnati Financial Corp
ADM US Equity,Archer-Daniels-Midland Co
REG US Equity,Regency Centers Corp
TJX US Equity,TJX Cos Inc/The
UPS US Equity,United Parcel Service Inc
PPG US Equity,PPG Industries Inc
XRAY US Equity,DENTSPLY SIRONA Inc
GOOGL US Equity,Alphabet Inc
ORLY US Equity,O'Reilly Automotive Inc
DRE US Equity,Duke Realty Corp
CTLT US Equity,Catalent Inc
GRMN US Equity,Garmin Ltd
GPC US Equity,Genuine Parts Co
PKG US Equity,Packaging Corp of America
CFG US Equity,Citizens Financial Group Inc
ATO US Equity,Atmos Energy Corp
ED US Equity,Consolidated Edison Inc
OXY US Equity,Occidental Petroleum Corp
MMC US Equity,Marsh & McLennan Cos Inc
LKQ US Equity,LKQ Corp
AAP US Equity,Advance Auto Parts Inc
PBCT US Equity,People's United Financial Inc
MLM US Equity,Martin Marietta Materials Inc
NKE US Equity,NIKE Inc
CDW US Equity,CDW Corp/DE
NUE US Equity,Nucor Corp
IPGP US Equity,IPG Photonics Corp
AIZ US Equity,Assurant Inc
IEX US Equity,IDEX Corp
LNT US Equity,Alliant Energy Corp
HSY US Equity,Hershey Co/The
SIVB US Equity,SVB Financial Group
MKTX US Equity,MarketAxess Holdings Inc
NOV US Equity,NOV Inc
DVA US Equity,DaVita Inc
PCAR US Equity,PACCAR Inc
MAA US Equity,Mid-America Apartment Communit
KEYS US Equity,Keysight Technologies Inc
LEN US Equity,Lennar Corp
ARE US Equity,Alexandria Real Estate Equitie
MGM US Equity,MGM Resorts International
CNP US Equity,CenterPoint Energy Inc
JKHY US Equity,Jack Henry & Associates Inc
XYL US Equity,Xylem Inc/NY
TXT US Equity,Textron Inc
AVB US Equity,AvalonBay Communities Inc
UAA US Equity,Under Armour Inc
AWK US Equity,American Water Works Co Inc
BIO US Equity,Bio-Rad Laboratories Inc
PGR US Equity,Progressive Corp/The
POOL US Equity,Pool Corp
ABMD US Equity,ABIOMED Inc
ETSY US Equity,Etsy Inc
RL US Equity,Ralph Lauren Corp
IQV US Equity,IQVIA Holdings Inc
ULTA US Equity,Ulta Beauty Inc
MPWR US Equity,Monolithic Power Systems Inc
PNW US Equity,Pinnacle West Capital Corp
APH US Equity,Amphenol Corp
EXR US Equity,Extra Space Storage Inc
ATVI US Equity,Activision Blizzard Inc
WAB US Equity,Westinghouse Air Brake Technol
SLB US Equity,Schlumberger NV
QRVO US Equity,Qorvo Inc
OMC US Equity,Omnicom Group Inc
MHK US Equity,Mohawk Industries Inc
CTAS US Equity,Cintas Corp
ZION US Equity,Zions Bancorp NA
TER US Equity,Teradyne Inc
RHI US Equity,Robert Half International Inc
NI US Equity,NiSource Inc
PSX US Equity,Phillips 66
INFO US Equity,IHS Markit Ltd
AOS US Equity,A O Smith Corp
RCL US Equity,Royal Caribbean Cruises Ltd
HII US Equity,Huntington Ingalls Industries
TDG US Equity,TransDigm Group Inc
PAYC US Equity,Paycom Software Inc
HST US Equity,Host Hotels & Resorts Inc
HPE US Equity,Hewlett Packard Enterprise Co
MDLZ US Equity,Mondelez International Inc
CPRT US Equity,Copart Inc
MPC US Equity,Marathon Petroleum Corp
ALLE US Equity,Allegion plc
FB US Equity,Facebook Inc
FTV US Equity,Fortive Corp
SCHW US Equity,Charles Schwab Corp/The
DISH US Equity,DISH Network Corp
SYF US Equity,Synchrony Financial
LIN US Equity,Linde PLC
MNST US Equity,Monster Beverage Corp
FAST US Equity,Fastenal Co
TSLA US Equity,Tesla Inc
WYNN US Equity,Wynn Resorts Ltd
ODFL US Equity,Old Dominion Freight Line Inc
HFC US Equity,HollyFrontier Corp
RE US Equity,Everest Re Group Ltd
VNO US Equity,Vornado Realty Trust
KHC US Equity,Kraft Heinz Co/The
O US Equity,Realty Income Corp
HLT US Equity,Hilton Worldwide Holdings Inc
FBHS US Equity,Fortune Brands Home & Security
CCL US Equity,Carnival Corp
ROL US Equity,Rollins Inc
STE US Equity,STERIS PLC
DD US Equity,DuPont de Nemours Inc
WRK US Equity,Westrock Co
NCLH US Equity,Norwegian Cruise Line Holdings
BKR US Equity,Baker Hughes Co
ENPH US Equity,Enphase Energy Inc
FANG US Equity,Diamondback Energy Inc
JBHT US Equity,JB Hunt Transport Services Inc
AON US Equity,Aon PLC
DXC US Equity,DXC Technology Co
AMCR US Equity,Amcor PLC
HWM US Equity,Howmet Aerospace Inc
EVRG US Equity,Evergy Inc
FOXA US Equity,Fox Corp
CTVA US Equity,Corteva Inc
KMP US Equity,Kinder Morgan Energy Partners
DOW US Equity,Dow Inc
LW US Equity,Lamb Weston Holdings Inc
ACE AB Equity,Chubb Arabia Cooperative Insur
MEL US Equity,Mellon Financial Corp
CARR US Equity,Carrier Global Corp
VNT US Equity,Vontier Corp
TROW US Equity,T Rowe Price Group Inc
SAN FP Equity,Sanofi
VTRS US Equity,Viatris Inc
